Epoch,Loss,PSNR,BER,SSIM,NC,LR,Loss_img,Loss_wm,Loss_sig,Loss_ssim
1,1.9277863270282745,39.7617657605561,0.1285328826904297,0.9864684997081756,0.9478779597759247,4e-05,0.00010977928520806018,0.3839847168803215,0.00022893564850091935,0.006956376915890724
2,1.7979997359752655,38.9097402117069,0.08305818481445312,0.9807348596096039,0.9706730440616608,6e-05,0.0001319847662030952,0.35756090222001075,2.648611068725586e-05,0.00985179329002276
3,1.7603342897415162,38.478477087643,0.07089954528808594,0.9753568920612335,0.9777337733030319,8e-05,0.0001459938129206421,0.34948466126322747,2.1471498906612395e-05,0.012554582281224429
4,1.7437417799949646,38.291030523351495,0.06414201049804688,0.9730067210435868,0.9812499523162842,0.0001,0.00015306269597494974,0.3459347334444523,8.356143534183502e-06,0.013736920145899058
5,1.7325258053302766,38.27127067400239,0.05941929626464844,0.9722744354963303,0.9837497536420822,0.0001,0.00015435984464274953,0.3436190071105957,5.026970803737641e-06,0.014106966894306242
6,1.7202447503566742,38.37708726468071,0.054400918579101565,0.972775226020813,0.9860257503032684,9.997266286704631e-05,0.00015083676135691347,0.34121403409838674,7.021652162075043e-06,0.01385183955989778
7,1.7102974586963653,38.66116875559462,0.0511720947265625,0.9743726067781449,0.987818759059906,9.989068136093873e-05,0.0001412175698642386,0.3393891282081604,1.0204902291297912e-05,0.013038768879696726
8,1.7027073209285737,39.07435382032997,0.04839393005371094,0.9770289360284805,0.989192100739479,9.975414512725057e-05,0.00012842254278366453,0.3381493775308132,3.237755596637726e-06,0.011693876012787223
9,1.6958599202632905,39.52279231660653,0.04652756042480469,0.9806317951202392,0.9903704142570495,9.956320346634876e-05,0.00011549262141197687,0.3371488818705082,3.490769863128662e-06,0.009874054539296776
10,1.6869912736415864,40.02874068169195,0.044614328002929686,0.9847434865236282,0.9916007022857666,9.931806517013612e-05,0.00010238924144214252,0.33579576367735864,3.338569402694702e-06,0.0077976642894558605
11,1.6783332242965698,40.283867583014604,0.042037930297851564,0.9884900811195374,0.9929422897815704,9.901899829374047e-05,9.581641925033182e-05,0.33443973575234415,7.951411604881286e-06,0.005919059381401167
12,1.6707981144428252,40.64123317381918,0.03985086669921875,0.9910164289474487,0.994209834265709,9.86663298624003e-05,8.79599807492923e-05,0.333189645254612,9.327311813831329e-06,0.00464598509259522
13,1.6660921993732452,40.80218497851702,0.03806669616699219,0.9921510660409928,0.9950780628442765,9.826044551386744e-05,8.472310226934497e-05,0.3323663128077984,5.829080939292908e-06,0.004073703193804249
14,1.6611973171710968,41.075064782854795,0.03617128601074219,0.9930349730730057,0.9958931360721588,9.780178907671789e-05,7.946569308987819e-05,0.33147805441617967,8.433400094509125e-06,0.003622811316512525
15,1.6578380090236664,41.17215504997046,0.03519579467773438,0.9934443112373352,0.9963562097072601,9.729086208503174e-05,7.779541953495937e-05,0.33084528464078905,1.3993185758590697e-05,0.0034140157131943853
16,1.7292340744495391,39.982986149501436,0.06325894165039063,0.9916154753446579,0.9828110937356949,9.672822322997305e-05,0.00010207111514318967,0.34493103932738306,1.7704054713249206e-06,0.004369425552198663
17,1.6739330686569214,40.439245325848226,0.04059559631347656,0.9924359710454941,0.9937659710407257,9.611448774886924e-05,9.196229255758226e-05,0.3339579956114292,6.088981032371521e-06,0.00394089729404077
18,1.6641304451465606,40.78537188087731,0.03735994567871094,0.9930552935123443,0.9955092626810074,9.545032675245813e-05,8.491592496575322e-05,0.33206428094506263,6.859567761421204e-06,0.0036186291907913982
